"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
18.500,0.27,0.20,0.92
18.550,0.28,0.23,0.26
18.600,0.29,0.23,-0.49
18.650,0.30,0.19,-1.23
18.700,0.31,0.09,-1.74
18.750,0.31,-0.01,-1.81
18.800,0.31,-0.10,-1.54
18.850,0.30,-0.16,-1.09
18.900,0.29,-0.21,-0.51
18.950,0.28,-0.22,0.14
19.000,0.27,-0.20,0.80
19.050,0.26,-0.14,1.35
19.100,0.25,-0.05,1.70
19.150,0.25,0.04,1.75
19.200,0.26,0.13,1.46
19.250,0.27,0.20,0.89
19.300,0.28,0.23,0.17
19.350,0.29,0.22,-0.56
19.400,0.30,0.17,-1.18
19.450,0.31,0.09,-1.59
19.500,0.31,0.00,-1.74
19.550,0.31,-0.09,-1.60
19.600,0.30,-0.17,-1.19
19.650,0.29,-0.22,-0.54
19.700,0.28,-0.23,0.26
19.750,0.27,-0.19,0.99
19.800,0.26,-0.12,1.49
19.850,0.25,-0.03,1.70
19.900,0.25,0.06,1.63
19.950,0.26,0.14,1.31
20.000,0.27,0.20,0.77
20.050,0.28,0.22,0.10
20.100,0.29,0.21,-0.61
20.150,0.30,0.16,-1.21
20.200,0.31,0.08,-1.59
20.250,0.31,-0.01,-1.69
20.300,0.31,-0.10,-1.51
20.350,0.30,-0.17,-1.06
20.400,0.29,-0.22,-0.42
20.450,0.28,-0.22,0.32
20.500,0.27,-0.18,1.00
20.550,0.26,-0.11,1.47
20.600,0.25,-0.02,1.65
20.650,0.26,0.06,1.56
20.700,0.26,0.14,1.23
20.750,0.27,0.20,0.72
20.800,0.28,0.22,0.04
20.850,0.29,0.20,-0.70
20.900,0.30,0.14,-1.31
20.950,0.31,0.06,-1.61
21.000,0.31,-0.03,-1.55
21.050,0.31,-0.10,-1.29
21.100,0.30,-0.16,-0.94
21.150,0.29,-0.20,-0.44
21.200,0.28,-0.21,0.26
21.250,0.27,-0.18,0.98
21.300,0.26,-0.11,1.48
21.350,0.25,-0.02,1.68
21.400,0.26,0.07,1.58
21.450,0.26,0.15,1.21
21.500,0.27,0.20,0.61
21.550,0.28,0.21,-0.09
21.600,0.29,0.19,-0.73
21.650,0.30,0.13,-1.18
21.700,0.31,0.06,-1.46
21.750,0.31,-0.01,-1.61
21.800,0.31,-0.10,-1.53
21.850,0.30,-0.18,-1.07
21.900,0.29,-0.23,-0.29
21.950,0.27,-0.21,0.54
22.000,0.26,-0.16,1.14
22.050,0.26,-0.09,1.47
22.100,0.26,-0.01,1.60
22.150,0.26,0.08,1.51
22.200,0.26,0.15,1.13
22.250,0.27,0.20,0.53
22.300,0.28,0.21,-0.17
22.350,0.30,0.18,-0.82
22.400,0.30,0.12,-1.30
22.450,0.31,0.04,-1.55
22.500,0.31,-0.04,-1.54
22.550,0.30,-0.12,-1.27
22.600,0.30,-0.18,-0.77
22.650,0.28,-0.20,-0.14
22.700,0.27,-0.19,0.52
22.750,0.26,-0.15,1.09
22.800,0.26,-0.08,1.45
22.850,0.26,0.01,1.58
22.900,0.26,0.09,1.46
22.950,0.27,0.16,1.01
23.000,0.27,0.20,0.32
23.050,0.29,0.19,-0.40
23.100,0.30,0.15,-0.92
23.150,0.30,0.09,-1.23
23.200,0.31,0.03,-1.39
23.250,0.31,-0.05,-1.37
23.300,0.30,-0.12,-1.14
23.350,0.29,-0.17,-0.70
23.400,0.28,-0.19,-0.12
23.450,0.27,-0.19,0.52
