LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID2249,2249,0,316.0,61.28409689310163,331.30832016850974,0.0,49.0,49,10.037184813341327,1,,246.9558359621451,255.0,0.0,255.0,78285.0,44.64123447573238,0.9848901402888168,5.489899686500048,0.12244417374084132,0.08409949315256687,11.313409169759806,9.335513580744797,-1.0252525121931908,1.2118678926346986,316.5,67.9507207668804,0.8613813071414365,0.9518796992481203,3.8195061229000036
ID2247,2247,0,295.0,61.477207977207975,344.58319088319087,0.0,50.0,50,9.64912647387103,1,,248.90784982935153,255.0,0.0,255.0,72930.0,39.00739796119937,1.0236256979861713,6.455540382001728,-0.2703175325678748,0.22045216462620273,10.64787459497873,8.314864198670335,-1.0687786315765266,1.2805831028102028,292.5,93.25698357068659,0.4226423442430218,0.8877086494688923,5.452785686470302
ID2248,2248,0,291.0,61.847775852108605,358.8212016175621,0.0,51.0,51,9.582922422936733,1,,251.45833333333334,255.0,0.0,255.0,72420.0,29.894559187075334,0.9976593929050347,8.401652768270498,-0.11256355052024083,0.2384291099757509,10.460924839848273,8.518824779436748,-1.1476295465750093,1.2279774629359066,288.50000000000006,85.54960957242452,0.4953584979487889,0.9029733959311426,5.0366888582771105
ID2252,2252,0,298.0,62.312358276643984,373.36394557823127,0.0,52.0,52,9.673836185197393,1,,239.54545454545453,255.0,0.0,255.0,71145.0,60.94729769089954,0.9714471122647631,3.8734460055577267,0.11065503936640456,0.11317716933313303,10.408235261543187,9.252333210468018,2.0711835285252858,1.1249308714657391,294.0,80.68964249231651,0.5674421755457327,0.9245283018867925,4.705915515089784
ID2251,2251,0,295.0,62.92687074829932,388.76020408163265,0.0,53.0,53,9.673836185197393,1,,251.5068493150685,255.0,0.0,255.0,73440.0,29.691251230978136,1.032713421465382,8.607062948430304,0.024392117017563886,0.17502822400132345,10.158797805428403,8.811557100025226,-1.1786487549848563,1.1528947370038969,294.0,88.58834316443532,0.47076485796492107,0.8724035608308607,5.166577093129537
ID2254,2254,0,291.0,63.27609427609428,404.1599326599327,0.0,54.0,54,9.723067221642863,1,,246.41414141414143,255.0,0.0,255.0,73185.0,46.074119948996966,1.0427046263345197,5.460020871676642,0.05605862751021415,0.48759816643546394,10.44734865475437,9.173977157444387,-1.1936997695048297,1.1388025580897247,297.00000000000006,91.3252156581598,0.4474916133959405,0.8621190130624095,5.299226490473683
ID2253,2253,0,290.0,63.798693923906875,420.45229982964224,0.0,55.0,55,9.66560663357156,1,,247.19387755102042,255.0,0.0,255.0,72675.0,44.00240254763964,1.0479877582249426,5.749368817317731,-0.047170151445376535,0.48923060542890245,10.653067847888506,9.11411046143214,-1.3155727881642671,1.1688543707001047,293.49999999999994,93.44232884714175,0.4224065676907507,0.8594436310395315,5.454307276988885
ID2261,2261,0,259.0,63.53168316831683,435.39768976897693,0.0,56.0,56,8.965112729988794,1,,253.99606299212599,255.0,0.0,255.0,64515.0,16.000123031023026,0.9610145428034227,15.559040237312077,0.25974785023509256,0.6636549271654291,10.7504803322613,8.211652798750684,-0.9016019872574408,1.3091737553610245,252.49999999999997,67.20608639246944,0.702512465249785,0.8603066439522999,4.229391758433501
ID2255,2255,0,260.0,63.62765957446808,452.1466795615732,0.0,57.0,57,9.0710035596129,1,,249.98031496062993,255.0,0.0,255.0,63495.0,35.493410933062506,0.9487333452753691,6.857721087967156,0.004279175929202526,0.17294190401652026,11.094920398756262,7.6991483191198515,2.355902643897948,1.4410581455098668,258.5,66.22783915636789,0.7406094354561995,0.8975694444444444,4.119175651000795
ID2257,2257,0,299.0,65.16442953020135,470.1918344519015,0.0,58.0,58,9.739422266375435,1,,250.69256756756758,255.0,0.0,255.0,74205.0,32.91658814458429,1.004561530578436,7.633325673443625,-0.16057588261318825,0.39741039319580884,10.196159953771863,9.273305791977156,-1.2093466950488452,1.0995172792202235,298.0,87.24528885225385,0.4919740076577538,0.8764705882352941,5.053983885060084
